facility_name,fac_index,tollclass,tollseg,tolltype,use,tollea_da,tollam_da,tollmd_da,tollpm_da,tollev_da,tollea_s2,tollam_s2,tollmd_s2,tollpm_s2,tollev_s2,tollea_s3,tollam_s3,tollmd_s3,tollpm_s3,tollev_s3,tollea_vsm,tollam_vsm,tollmd_vsm,tollpm_vsm,tollev_vsm,tollea_sml,tollam_sml,tollmd_sml,tollpm_sml,tollev_sml,tollea_med,tollam_med,tollmd_med,tollpm_med,tollev_med,tollea_lrg,tollam_lrg,tollmd_lrg,tollpm_lrg,tollev_lrg,toll_flat
Carquinez Bridge GP,2001,2,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
Carquinez Bridge HOV,2003,2,0,bridge,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,1.55,3.10,1.55,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
Benicia-Martinez Bridge GP,1001,1,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,8.00,8.00,8.00,8.00,8.00,3.10,3.10,3.10,3.10,3.10,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
Benicia-Martinez Bridge HOV,1003,1,0,bridge,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,1.55,3.10,1.55,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
Antioch Bridge GP,8001,8,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,8.00,8.00,8.00,8.00,8.00,3.10,3.10,3.10,3.10,3.10,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
Antioch Bridge HOV,8003,8,0,bridge,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,1.55,3.10,1.55,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
Richmond-San Rafael Bridge GP,3001,3,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,8.00,8.00,8.00,8.00,8.00,3.10,3.10,3.10,3.10,3.10,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
Richmond-San Rafael Bridge HOV,3003,3,0,bridge,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,1.55,3.10,1.55,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
San Francisco Bay Bridge GP,5001,5,0,bridge,1,2.71,3.49,2.71,3.49,2.71,2.71,3.49,2.71,3.49,2.71,2.71,3.49,2.71,3.49,2.71,7.00,7.00,7.00,7.00,7.00,2.71,2.71,2.71,2.71,2.71,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
San Francisco Bay Bridge HOV,5003,5,0,bridge,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,1.55,2.71,1.55,2.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
Golden Gate Bridge GP,4001,4,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,8.00,8.00,8.00,8.00,8.00,3.10,3.10,3.10,3.10,3.10,8.13,8.13,8.13,8.13,8.13,13.55,13.55,13.55,13.55,13.55,1
Golden Gate Bridge HOV,4003,4,0,bridge,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,2.32,3.10,2.32,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
San Mateo-Hayward Bridge GP,6001,6,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,8.00,8.00,8.00,8.00,8.00,3.10,3.10,3.10,3.10,3.10,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
San Mateo-Hayward Bridge HOV,6002,6,0,bridge,2,0.00,0.00,0.00,0.00,0.00,3.10,1.55,3.10,1.55,3.10,3.10,1.55,3.10,1.55,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
Dumbarton Bridge GP,7001,7,0,bridge,1,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,8.00,8.00,8.00,8.00,8.00,3.10,3.10,3.10,3.10,3.10,6.97,6.97,6.97,6.97,6.97,10.84,10.84,10.84,10.84,10.84,1
Dumbarton Bridge HOV,7002,7,0,bridge,2,0.00,0.00,0.00,0.00,0.00,3.10,1.55,3.10,1.55,3.10,3.10,1.55,3.10,1.55,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
I-680 Sunol EL SB: SCL County Line to SR84,690004,690,0,expr_lane,4,0.00,0.23,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.09,0.05,0.00,0.00,0.23,0.06,0.03,0.00,0.00,0.23,0.06,0.03,0.00,0.00,0.23,0.06,0.03,0.00,0
SR-237 EL SB: US101 Interchange to I-880 Interchange,232004,232,0,expr_lane,4,0.00,0.90,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.22,0.00,0.00,0.90,0.00,0.15,0.00,0.00,0.90,0.00,0.15,0.00,0.00,0.90,0.00,0.15,0.00,0
SR-237 EL NB: US101 Interchange to I-880 Interchange,231004,231,0,expr_lane,4,0.00,0.06,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.78,0.00,0.00,0.06,0.00,0.54,0.00,0.00,0.06,0.00,0.54,0.00,0.00,0.06,0.00,0.54,0.00,0
SR-237 Express Lanes (first segment before TOLLCLASS 232): I-880 SCL - SR237 to SR262 Mission Blvd - SB,888004,888,0,expr_lane,4,0.00,0.90,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.22,0.00,0.00,0.90,0.00,0.15,0.00,0.00,0.90,0.00,0.15,0.00,0.00,0.90,0.00,0.15,0.00,0
SR-237 Express Lanes (last segment after TOLLCLASS 231): I-880 SCL - SR237 to SR262 Mission Blvd - NB,887004,887,0,expr_lane,4,0.00,0.06,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.78,0.00,0.00,0.06,0.00,0.54,0.00,0.00,0.06,0.00,0.54,0.00,0.00,0.06,0.00,0.54,0.00,0
US101 SM - SM Bridge (SR92) to I-380 Interchange - NB,107004,107,0,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US101 SM - SM Bridge (SR92) to I-380 Interchange - SB,108004,108,0,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US101 SM - Whipple Ave to SM Bridge (SR92) - NB,109004,109,0,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US101 SM - Whipple Ave to SM Bridge (SR92) - SB,110004,110,0,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US101 SM - Dumbarton Bridge (Willow Road) to Whipple Ave - NB,111004,111,0,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
